pct_mouse_click,pct_scroll_move,pct_doubleclick,pct_input,page_activity_duration,pct_click,pct_mouse_move,wild_mouse_duration,scroll_move_total_rel_distance,session_start
14.5111,43.11849,17.27521,0.56484,14.20165,13.17177,10.3543,14.24856,15.12649,1570731284
13.93536,56.63454,16.24104,0.15175,14.74512,12.52043,15.76795,12.9329,14.08687,1558918300
15.40648,39.30528,14.4033,0.00606,14.79438,9.12755,14.16644,9.69369,13.40058,1685228037
13.93536,56.63454,16.24104,0.15175,14.74512,12.52043,15.76795,12.9329,14.08687,1558918300
15.40648,39.30528,14.4033,0.00606,14.79438,9.12755,14.16644,9.69369,13.40058,1685228037
15.58211,57.21931,13.83326,0.00162,15.71555,11.5539,16.0023,8.32734,12.8379,1652027250
14.90831,59.19412,17.16534,0.0097,14.2888,12.37601,17.1411,10.17393,13.68771,1669868313
14.63572,39.61946,15.77472,0.0132,14.67707,11.2252,15.99035,10.51803,14.3258,1631021903
13.54028,60.16616,15.03113,0.03917,11.87116,12.95387,14.31349,11.57761,15.418,1601176631
14.30669,67.55442,13.87246,0.01797,13.51537,11.08934,17.13303,10.80356,12.9265,1674979368
11.08714,54.66675,15.37844,0.54392,14.27902,12.81853,10.82557,14.21081,13.19557,1625941853
16.23284,52.45082,11.55149,0.02618,10.50533,12.26301,16.54045,11.18899,13.79752,1677085533
14.94909,51.2853,14.19645,0.12629,14.27632,10.83165,13.28457,12.643022873584053,12.1341,1593731228
15.75027,79.0362,13.37271,0.00482,15.52122,12.12159,15.7748,9.43315,12.24633,1676808037
12.41712,49.04956,16.01511,0.04511,11.05646,13.0272,16.77677,11.71446,13.78486,1539993877
15.58278,69.25176,16.39615,0.97849,15.35445,15.443,14.99862,14.79828,12.65809,1605270100
16.05354,52.29711,14.6169,0.04827,11.35833,10.81437,13.83388,11.78068,14.25615,1679631323
11.5643,62.0473,15.12262,0.38554,15.76373,14.75464,11.62929,13.86662,15.40438,1690454813
13.27135,48.24043,11.96152,0.05645,14.3914,10.50032,13.87163,11.94135,13.3769,1689895323
12.90092,31.28739,15.60763,0.01919,11.56976,12.26743,16.88829,10.86263,13.32382,1615325347
12.28762,52.2502,15.49575,0.20466,16.50563,15.19961,10.46866,13.23227,12.81482,1597623876
13.09441,60.71145,16.78834,0.1251,13.754,10.56094,15.45232,12.7412,12.38242,1569454504
13.26376,67.74167,15.06656,0.19723,10.99364,13.98998,14.70276,13.19667,13.42201,1582208275
16.75161,52.37423,11.48054,0.31722,10.27289,13.42796,13.60132,13.67244,14.9169,1584931442
13.09441,60.71145,16.78834,0.1251,13.754,10.56094,15.45232,12.7412,12.38242,1569454504
13.26376,67.74167,15.06656,0.19723,10.99364,13.98998,14.70276,13.19667,13.42201,1582208275
16.75161,52.37423,11.48054,0.31722,10.27289,13.42796,13.60132,13.67244,14.9169,1584931442
13.09441,60.71145,16.78834,0.1251,13.754,10.56094,15.45232,12.7412,12.38242,1569454504
13.26376,67.74167,15.06656,0.19723,10.99364,13.98998,14.70276,13.19667,13.42201,1582208275
16.75161,52.37423,11.48054,0.31722,10.27289,13.42796,13.60132,13.67244,14.9169,1584931442
14.75871,41.08512,16.83891,0.33799,16.23515,14.27119,10.78376,13.73466,13.30138,1625230328
14.6196,46.60338,15.39753,0.02319,15.0882,12.2542,16.66131,11.04242,12.74749,1676242982
16.70269,34.0735,15.19299,0.076,12.63625,12.27223,13.84135,12.23922,13.15891,1622930984
13.70134,84.46387,16.74793,0.22096,14.7372,11.85645,15.66178,13.30921,11.66585,1600111480
14.03075,65.7728,11.96316,0.16607,13.10008,10.89936,11.79403,13.02376,13.53491,1688628702
16.42186,64.45378,16.59215,0.00579,14.40023,11.44549,16.93454,9.646,12.3256,1642384168
15.73166,67.80689,14.94073,0.35258,16.25521,14.37585,16.25713,13.7766,13.09704,1628829388
16.8373,53.59377,15.32978,0.0048,13.48112,9.65515,16.5782,9.42676,13.63127,1607881684
16.11462,51.86287,15.52652,0.70304,13.26919,10.819,15.3488,14.46803,14.6889,1544717945
15.01886,29.34833,10.75611,0.04499,9.77823,9.85715,15.80311,11.71799,13.02157,1666129543
11.22259,44.91381,12.57223,0.00928,15.57409,7.55343,12.82755,10.16375,12.64698,1662316737
11.8644,40.46171,16.24497,0.42048,14.81191,17.12641,12.03032,13.9532,14.42797,1553439661
17.45615,38.05369,15.41749,0.00415,15.33573,10.85034,15.90918,9.19049,14.27657,1670187096
11.8644,40.46171,16.24497,0.42048,14.81191,17.12641,12.03032,13.9532,14.42797,1553439661
