col_0,col_1,col_2,col_3,col_4,sex_F,sex_M,new_user_id,race_0,race_1,race_2,user_id,pct_mouse_click,pct_scroll_move,pct_doubleclick,pct_input,page_activity_duration,pct_click,pct_mouse_move,pct_scrandom,pct_scroll_move_duration,mouse_move_total_rel_distance,product_ean,pct_rage_click,pct_wild_mouse,session_duration,wild_mouse_duration,session_id,pct_click_product_info,scroll_move_total_rel_distance,total_load_time,screen_width,screen_height,birthdate,registration,timestamp,session_start
0,0,1,0,0,1.0,0.0,782,0,0,1,782,14.5111,43.11849,17.27521,0.56484,14.20165,13.17177,10.3543,48.38493,6.54299,12.19656,9817922736501,56.71954,44.23847,136.24047,14.24856,849729,23.91551,15.12649,7.79057,1280,1080,19650808.0,20200918.0,1570731284,1570731284
0,1,0,0,0,1.0,0.0,2605,0,1,0,2158,13.93536,56.63454,16.24104,0.15175,14.74512,12.52043,15.76795,49.67817,14.841,11.11379,3761800850697,60.98362,51.35259,252.89234,12.9329,781312,47.54284,14.08687,4.86658,1920,1080,19390123.0,20190605.0,1558918300,1558918300
0,0,1,0,0,1.0,0.0,2605,0,1,1,2158,15.40648,39.30528,14.4033,0.00606,14.79438,9.12755,14.16644,53.09828,19.26476,14.84944,7596049399180,47.93953,58.10536,150.19644,9.69369,829814,59.59391,13.40058,2.31779,1024,768,19390123.0,20190605.0,1685228037,1685228037
0,1,0,0,0,1.0,0.0,2675,0,1,0,2158,13.93536,56.63454,16.24104,0.15175,14.74512,12.52043,15.76795,49.67817,14.841,11.11379,3761800850697,60.98362,51.35259,252.89234,12.9329,781312,47.54284,14.08687,4.86658,1920,1080,20140911.0,20181023.0,1558918300,1558918300
0,0,1,0,0,1.0,0.0,2675,0,1,0,2158,15.40648,39.30528,14.4033,0.00606,14.79438,9.12755,14.16644,53.09828,19.26476,14.84944,7596049399180,47.93953,58.10536,150.19644,9.69369,829814,59.59391,13.40058,2.31779,1024,768,20140911.0,20181023.0,1685228037,1685228037
0,0,0,0,1,1.0,0.0,2204,1,0,0,2204,15.58211,57.21931,13.83326,0.00162,15.71555,11.5539,16.0023,72.04242,20.92315,13.0976,9501228439777,40.53134,51.03852,99.0401,8.32734,111752,39.1952,12.8379,3.03892,1920,1080,20030224.0,20190516.0,1652027250,1652027250
0,0,0,1,0,1.0,0.0,2204,0,0,1,2204,14.90831,59.19412,17.16534,0.0097,14.2888,12.37601,17.1411,51.46175,17.13509,14.94901,7620821196749,38.90812,48.31791,218.72108,10.17393,955316,32.43102,13.68771,1.67152,0,0,20030224.0,20190516.0,1669868313,1669868313
0,0,0,0,1,1.0,0.0,3348,0,1,0,720,14.63572,39.61946,15.77472,0.0132,14.67707,11.2252,15.99035,50.9957,18.09812,13.3555,7979658741616,54.10438,39.0974,184.8169,10.51803,391449,68.01452,14.3258,5.27451,1280,1080,19320717.0,20200622.0,1631021903,1631021903
0,0,0,1,0,1.0,0.0,3348,0,0,1,720,13.54028,60.16616,15.03113,0.03917,11.87116,12.95387,14.31349,32.38313,14.43988,13.86572,3925958467989,31.8151,47.7198,168.16298,11.57761,1375291,60.97749,15.418,5.86217,1920,1024,19320717.0,20200622.0,1601176631,1601176631
0,0,0,0,1,1.0,0.0,3348,0,1,1,720,14.30669,67.55442,13.87246,0.01797,13.51537,11.08934,17.13303,44.43881,20.16385,15.07715,8586311841812,17.86209,46.87703,224.20219,10.80356,151472,23.57572,12.9265,5.98495,1920,1080,19320717.0,20200622.0,1674979368,1674979368
0,0,0,0,1,1.0,0.0,3348,0,1,0,720,11.08714,54.66675,15.37844,0.54392,14.27902,12.81853,10.82557,50.50471,11.79145,14.57945,8033278548891,28.43238,32.62395,28.6369,14.21081,295836,60.20215,13.19557,4.65611,1920,800,19320717.0,20200622.0,1625941853,1625941853
0,0,0,0,1,1.0,0.0,3348,1,0,0,720,16.23284,52.45082,11.55149,0.02618,10.50533,12.26301,16.54045,46.79567,16.93265,12.75928,1163272284345,59.47731,63.02552,223.45864,11.18899,641310,49.97426,13.79752,3.30895,1920,1080,19320717.0,20200622.0,1677085533,1677085533
0,0,0,0,1,0.0,1.0,2706,0,1,0,1454,14.94909,51.2853,14.19645,0.12629,14.27632,10.83165,13.28457,26.38396,14.46066,11.82617,9594883354912,38.88678,63.18428,111.71953,12.643022873584053,276390,21.14994,12.1341,4.64981,800,600,19750111.0,20211211.0,1593731228,1593731228
0,0,1,0,0,0.0,1.0,2706,0,1,0,1454,15.75027,79.0362,13.37271,0.00482,15.52122,12.12159,15.7748,51.58016,19.28429,13.19941,349704585384,62.0958,37.31109,156.52273,9.43315,1094076,56.96032,12.24633,0.31139,1366,768,19750111.0,20211211.0,1676808037,1676808037
0,1,0,0,0,0.0,1.0,2706,0,1,0,1454,12.41712,49.04956,16.01511,0.04511,11.05646,13.0272,16.77677,33.33789,16.4852,12.07361,5448758575657,50.75991,53.29612,130.40319,11.71446,152299,57.23983,13.78486,3.1744,1920,600,19750111.0,20211211.0,1539993877,1539993877
0,0,0,1,0,1.0,0.0,2706,0,1,1,1454,15.58278,69.25176,16.39615,0.97849,15.35445,15.443,14.99862,53.0203,8.6045,13.92802,8001562627676,33.01934,57.90897,96.98619,14.79828,833858,33.60929,12.65809,2.89717,1024,600,19750111.0,20211211.0,1605270100,1605270100
0,0,0,0,1,1.0,0.0,215,0,1,0,215,16.05354,52.29711,14.6169,0.04827,11.35833,10.81437,13.83388,39.52906,13.37148,12.14992,4251545023252,49.18585,65.26071,158.87957,11.78068,362640,66.31456,14.25615,5.74016,1024,1024,19130223.0,20230427.0,1679631323,1679631323
